Restaurant Name
Vidyarthi Bhavan
Cafe Amudham
Lavonne
SLV Swadishta (South Indian)
Kaapi Katte
Ranganna Military Hotel
Puliyogare Point
SLV Corner Restaurant
Sri Vishnu Grand
Sanman Restaurant
Indraprastha Vegetarian
Mulbagal Dosa Corner
